project_slug,floor_slug,slug,code,rooms,type,status,totalNP,totalNKP,floorPlanImage,pdfFile,positionImage
nova-varos,podrum,nv-pm-02,PM-2,Parking mjesto,Parking mjesto,prodano,13.24,13.24,https://s2it.ba/images/nvaros/gar_tloc_02.jpg,,
nova-varos,podrum,nv-pm-03,PM-3,Parking mjesto,Parking mjesto,prodano,15.73,15.73,https://s2it.ba/images/nvaros/gar_tloc_03.jpg,,
nova-varos,podrum,nv-pm-04,PM-4,Parking mjesto,Parking mjesto,prodano,14.58,14.58,https://s2it.ba/images/nvaros/gar_tloc_04.jpg,,
nova-varos,podrum,nv-pm-05,PM-5,Parking mjesto,Parking mjesto,prodano,13.78,13.78,https://s2it.ba/images/nvaros/gar_tloc_05.jpg,,
nova-varos,podrum,nv-pm-06,PM-6,Parking mjesto,Parking mjesto,prodano,14.51,14.51,https://s2it.ba/images/nvaros/gar_tloc_06.jpg,,
nova-varos,podrum,nv-pm-07,PM-7,Parking mjesto,Parking mjesto,prodano,15.04,15.04,https://s2it.ba/images/nvaros/gar_tloc_07.jpg,,
nova-varos,prizemlje,nv-pp-01,PP-1,Poslovni prostor,Poslovni prostor,prodano,104.99,104.99,https://s2it.ba/images/nvaros/poslovni_prostor_tloc.jpg,,
nova-varos,sprat-1,nv-stan-01,1,1-sobni,Stan,prodano,44.43,44.43,https://s2it.ba/images/nvaros/stan_tloc_01.jpg,,
nova-varos,sprat-1,nv-stan-02,2,1-sobni,Stan,prodano,53.58,53.58,https://s2it.ba/images/nvaros/stan_tloc_02.jpg,,
nova-varos,sprat-1,nv-stan-03,3,1-sobni,Stan,prodano,47.22,47.22,https://s2it.ba/images/nvaros/stan_tloc_03.jpg,,
nova-varos,sprat-1,nv-stan-04,4,1-sobni,Stan,prodano,39.75,39.75,https://s2it.ba/images/nvaros/stan_tloc_04.jpg,,
nova-varos,sprat-2,nv-stan-05,5,1-sobni,Stan,prodano,44.43,44.43,https://s2it.ba/images/nvaros/stan_tloc_01.jpg,,
nova-varos,sprat-2,nv-stan-06,6,1-sobni,Stan,prodano,53.58,53.58,https://s2it.ba/images/nvaros/stan_tloc_02.jpg,,
nova-varos,sprat-2,nv-stan-07,7,1-sobni,Stan,prodano,47.22,47.22,https://s2it.ba/images/nvaros/stan_tloc_03.jpg,,
nova-varos,sprat-2,nv-stan-08,8,1-sobni,Stan,prodano,39.75,39.75,https://s2it.ba/images/nvaros/stan_tloc_04.jpg,,
nova-varos,sprat-3,nv-stan-09,9,1-sobni,Stan,prodano,44.43,44.43,https://s2it.ba/images/nvaros/stan_tloc_01.jpg,,
nova-varos,sprat-3,nv-stan-10,10,1-sobni,Stan,prodano,53.58,53.58,https://s2it.ba/images/nvaros/stan_tloc_02.jpg,,
nova-varos,sprat-3,nv-stan-11,11,1-sobni,Stan,prodano,47.22,47.22,https://s2it.ba/images/nvaros/stan_tloc_03.jpg,,
nova-varos,sprat-3,nv-stan-12,12,1-sobni,Stan,prodano,39.75,39.75,https://s2it.ba/images/nvaros/stan_tloc_04.jpg,,
nova-varos,sprat-4,nv-stan-13,13,1-sobni,Stan,prodano,47.22,47.22,https://s2it.ba/images/nvaros/stan_tloc_03.jpg,,
nova-varos,sprat-4,nv-stan-14,14,1-sobni,Stan,prodano,39.75,39.75,https://s2it.ba/images/nvaros/stan_tloc_04.jpg,,
nova-varos,sprat-4,nv-stan-15,15,3-sobni,Stan,prodano,99.24,99.24,https://s2it.ba/images/nvaros/stan_tloc_05.jpg,,
nova-varos,povucena-etaza,nv-stan-16,16,4-sobni,Stan,prodano,113.35,113.35,https://s2it.ba/images/nvaros/stan_tloc_06.jpg,,
nova-varos,povucena-etaza,nv-stan-17,17,2-sobni,Stan,prodano,62.91,62.91,https://s2it.ba/images/nvaros/stan_tloc_07.jpg,,
city-garden-lamela-4,prizemlje,l4-stan-01,S01,2-sobni,Stan,slobodno,45.28,45.28,/images/projekti/city-garden-lamela-4/stanovi/s01.jpg,/pdfs/l4-s01.pdf,/images/projekti/city-garden-lamela-4/stanovi/s01-pozicija.jpg
city-garden-lamela-4,prizemlje,l4-stan-02,S02,2-sobni,Stan,slobodno,41.21,41.21,/images/projekti/city-garden-lamela-4/stanovi/s02.jpg,/pdfs/l4-s02.pdf,/images/projekti/city-garden-lamela-4/stanovi/s02-pozicija.jpg
